show,notes,destinationID,google_place,google_place_id,user_entered_place,count,lat,lon,Record ID,timedstamp,Last Modified,Category,Notes,first_name,description
FALSE,Not in LA County,75,Brea Mall,ChIJwS0hgwbV3IARL4oucH0V6P8,Brea Mall,1,33.9156061,-117.8865141,rec6cW7UFipI5Vxmf,9/23/2023 11:14 AM,9/25/2023 9:45 PM,Mall/Shopping Area,,,
FALSE,Too general,76,Santa Fe Springs,ChIJh2x1kwLTwoAR4zWXGfiJrzU,Santa Fe Springs,1,33.9472359,-118.0853451,rec7T8rWFnzziLraU,9/23/2023 11:14 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
FALSE,,77,Paradise Gardens Park,ChIJa2eOBtnX3IARc1NEdOGJ5oc,Disney California Adventure Park,1,33.805822,-117.9214318,rec01GnGbzA37E0KI,9/23/2023 11:14 AM,9/25/2023 9:44 PM,Nature Park,,,
TRUE,,78,Mountain High Resort,ChIJuYkflAIXw4ARtZZKjvDriq8,Mountain High Resort,1,34.3769418,-117.6915242,rec9aWTyKcJfyV6sw,9/23/2023 11:14 AM,10/10/2023 11:18 AM,Unknown/Not Relevant,,,
FALSE,Not in LA County,79,LoanMart Field,ChIJXx6VqRBLw4AR4YRCAd5mEdA,LoanMart Field,1,34.1025435,-117.5473637,recQ1vPO9MR7TNQfb,9/23/2023 11:14 AM,9/25/2023 9:47 PM,Sports Venue,,,
TRUE,,80,Plaza Del Valle,ChIJdWQdgdGQwoARwd7QcgJy6X4,Plaza Del Valle,1,34.2266056,-118.4489533,recMKeQElChfPPHD5,9/23/2023 11:14 AM,9/25/2023 9:47 PM,Mall/Shopping Area,,,
TRUE,,81,Manhattan Beach Pier,ChIJ7U-BHeuzwoARAvYAqFtEc2A,Manhattan Beach Pier,1,33.8843296,-118.4121416,recOrKzXIUF43EVCL,9/23/2023 11:14 AM,9/25/2023 9:44 PM,Beach/Pier,,,
TRUE,,82,Blaze Pizza,ChIJzzQhfV_DwoARkAD-fH-T8C0,Blaze Pizza,1,34.1461045,-118.1366734,recPvFDGXxLQrMrEw,9/23/2023 11:14 AM,9/25/2023 9:44 PM,Food,,,
TRUE,,83,Mount Wilson,ChIJDZ0dbnjdwoARb3ULkyHuA9Y,Mount Wilson,1,34.2249455,-118.0564071,recqdqiwGAW5ivWvM,9/23/2023 11:14 AM,9/25/2023 9:44 PM,Nature Park,,,
TRUE,,84,Geffen Playhouse,ChIJC9ZmTYG8woARUQOWZ4HWAtU,Geffen Playhouse,1,34.0634331,-118.4444494,rec9IPMiLO34RDkIi,9/23/2023 11:14 AM,9/25/2023 9:44 PM,Entertainment Venue,,,
FALSE,Too general,85,Agoura Hills,ChIJlRyqIx4h6IAR1v3fLa72Dqw,Agoura Hills,1,34.1533395,-118.7616764,recGgM49P6HND9Q51,9/23/2023 11:14 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
FALSE,Not in LA County,86,San Clemente Pier,ChIJ_7a0FxX03IARz1rCSiPCBYY,San Clemente Pier,1,33.4187667,-117.6216275,rechekTlLWAcALbFe,9/23/2023 11:14 AM,9/25/2023 9:44 PM,Beach/Pier,,,
FALSE,Airport,87,John Wayne Airport,ChIJ70Cry-3e3IAR4hkRw_XoQck,John Wayne Airport (SNA),1,33.6740707,-117.8690048,recmcsV55sDLLdEgz,9/23/2023 11:14 AM,9/25/2023 10:01 PM,Airport,,,
FALSE,Too general,88,Montebello,ChIJhV4fRirOwoAR2prNNJkxiH4,Montebello,1,34.0165053,-118.1137535,recyupXFbpD7v0xXC,9/23/2023 11:14 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
FALSE,,89,Los Feliz,ChIJGyZkVaXAwoARiDm7dQXpd_s,Los Feliz,1,34.1063307,-118.2848199,recWcTwzOAnEmxPKi,9/23/2023 11:14 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
TRUE,,90,New York Chicken,ChIJ_0okykOcwoARCSBD9uXlYa8,New York Chicken,1,34.2079376,-118.6063221,rec2TveYu4xNKxH2f,9/23/2023 11:15 AM,9/25/2023 9:43 PM,Food,,,
FALSE,Not in LA County,91,Laguna Beach,ChIJwSRbj8jg3IAR9tp5qDW05w0,Laguna Beach,1,33.5427189,-117.7853568,reck2wwIAOcZXsR4Q,9/23/2023 11:15 AM,9/25/2023 9:43 PM,Beach/Pier,,,
FALSE,Maybe looking for Camarillo Outlets?,92,Camarillo Street,EiJDYW1hcmlsbG8gU3QsIExvcyBBbmdlbGVzLCBDQSwgVVNBIi4qLAoUChIJgXLe4SC-woARUDAWi9JWrdcSFAoSCRPaJ9xdx8KAEfQIRiVv3y_i,Camarillo Street,1,34.1576686,-118.3653602,recmC6HoUNoUsUT5G,9/23/2023 11:15 AM,9/25/2023 10:01 PM,Mall/Shopping Area,Camarillo Outlets?,,
TRUE,,93,King's Hawaiian Bakery,ChIJNYPY0NxK3YARlYmHWz-DQWM,King's Hawaiian Bakery,1,33.8228949,-118.3349298,recbzbl8WMw9kUskS,9/23/2023 11:15 AM,9/25/2023 9:43 PM,Food,,,
TRUE,,94,Geffen Academy at UCLA,ChIJk8YcAIO8woARROE1fgwCJEg,Geffen Academy at UCLA,1,34.059361,-118.4469528,recKY8fk2BlRL4o18,9/23/2023 11:15 AM,9/25/2023 9:43 PM,School,,,
FALSE,Not in LA County,95,Big Bear,ChIJmVbw4M_HwoARMYvk8FcHZ7E,Big Bear,1,34.0325608,-118.263043,rec5ZReYlbaSrXtXK,9/23/2023 11:15 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
TRUE,,96,Hawaii Supermarket,ChIJawBekbnawoAR60fBJGPZMuI,Hawaii Supermarket,1,34.079263,-118.0988062,recHL2J3jgoxTO4Vn,9/23/2023 11:15 AM,9/25/2023 9:42 PM,Food,,,
